Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,74.06,75.15,73.8,75.09,75.09,135647456.0
2020-01-03,74.29,75.15,74.13,74.36,74.36,146535512.0
2020-01-06,73.45,74.99,73.19,74.95,74.95,118578576.0
2020-01-07,74.96,75.23,74.37,74.6,74.6,111510620.0
2020-01-08,74.29,76.11,74.29,75.8,75.8,132363784.0
2020-01-09,76.81,77.61,76.55,77.41,77.41,170486168.0
2020-01-10,77.65,78.17,77.06,77.58,77.58,140869088.0
2020-01-13,77.91,79.27,77.79,79.24,79.24,122086888.0
2020-01-14,79.18,79.39,78.04,78.17,78.17,162613828.0
2020-01-15,77.96,78.88,77.39,77.84,77.84,121923528.0
2020-01-16,78.4,78.93,78.02,78.81,78.81,108829016.0
2020-01-17,79.07,79.69,78.75,79.68,79.68,137816468.0
2020-01-21,79.3,79.76,79.0,79.14,79.14,110843256.0
2020-01-22,79.65,80.0,79.33,79.43,79.43,101832460.0
2020-01-23,79.48,79.89,78.91,79.81,79.81,104471972.0
2020-01-24,80.06,80.83,79.38,79.58,79.58,146537520.0
2020-01-27,77.52,77.94,76.22,77.24,77.24,161940020.0
2020-01-28,78.15,79.6,78.05,79.42,79.42,162233944.0
2020-01-29,81.11,81.96,80.35,81.09,81.09,216599712.0
2020-01-30,80.14,81.02,79.69,80.97,80.97,126743232.0
2020-01-31,80.23,80.67,77.07,77.38,77.38,199588384.0
2020-02-03,76.08,78.37,75.56,77.17,77.17,173985604.0
2020-02-04,78.83,79.91,78.41,79.71,79.71,136616536.0
2020-02-05,80.88,81.19,79.74,80.36,80.36,118826872.0
2020-02-06,80.64,81.31,80.07,81.3,81.3,105425540.0
2020-02-07,80.59,80.85,79.5,80.01,80.01,117684048.0
2020-02-10,78.55,80.39,78.46,80.39,80.39,109348860.0
2020-02-11,80.9,80.98,79.68,79.9,79.9,94323120.0
2020-02-12,80.37,81.81,80.37,81.8,81.8,113730292.0
2020-02-13,81.05,81.56,80.84,81.22,81.22,94747568.0
2020-02-14,81.19,81.5,80.71,81.24,81.24,80113788.0
2020-02-18,78.84,79.94,78.65,79.75,79.75,152762180.0
2020-02-19,80.0,81.14,80.0,80.91,80.91,93983964.0
2020-02-20,80.66,81.16,79.55,80.08,80.08,100565956.0
2020-02-21,79.66,80.11,77.63,78.26,78.26,129705660.0
2020-02-24,74.32,76.05,72.31,74.55,74.55,222195312.0
2020-02-25,75.24,75.63,71.53,72.02,72.02,230673456.0
2020-02-26,71.63,74.47,71.63,73.16,73.16,198713724.0
2020-02-27,70.28,71.5,68.24,68.38,68.38,320605524.0
2020-02-28,64.32,69.6,64.09,68.34,68.34,426884920.0
2020-03-02,70.57,75.36,69.43,74.7,74.7,341397356.0
2020-03-03,75.92,76.0,71.45,72.33,72.33,319475408.0
2020-03-04,74.11,75.85,73.28,75.69,75.69,219178272.0
2020-03-05,73.88,74.89,72.85,73.23,73.23,187572876.0
2020-03-06,70.5,72.71,70.31,72.26,72.26,226176984.0
2020-03-09,65.94,69.52,65.75,66.54,66.54,286744832.0
2020-03-10,69.29,71.61,67.34,71.34,71.34,285290080.0
2020-03-11,69.35,70.31,67.97,68.86,68.86,256379880.0
2020-03-12,63.99,67.5,62.0,62.06,62.06,418474068.0
2020-03-13,66.22,69.98,63.24,69.49,69.49,370732128.0
2020-03-16,60.49,64.77,60.0,60.55,60.55,322423460.0
2020-03-17,61.88,64.4,59.6,63.22,63.22,324055860.0
2020-03-18,59.94,62.5,59.28,61.67,61.67,300233624.0
2020-03-19,61.85,63.21,60.65,61.2,61.2,271857020.0
2020-03-20,61.8,62.96,57.0,57.31,57.31,401693384.0
2020-03-23,57.02,57.12,53.15,56.09,56.09,336752832.0
2020-03-24,59.09,61.92,58.58,61.72,61.72,287531092.0
2020-03-25,62.69,64.56,61.08,61.38,61.38,303602040.0
2020-03-26,61.63,64.67,61.59,64.61,64.61,252560676.0
2020-03-27,63.19,63.97,61.76,61.94,61.94,204216612.0
2020-03-30,62.69,63.88,62.35,63.7,63.7,167976440.0
2020-03-31,63.9,65.62,63.0,63.57,63.57,197002004.0
2020-04-01,61.63,62.18,59.78,60.23,60.23,176218552.0
2020-04-02,60.09,61.29,59.23,61.23,61.23,165933972.0
2020-04-03,60.7,61.43,59.74,60.35,60.35,129880068.0
2020-04-06,62.73,65.78,62.35,65.62,65.62,201820284.0
2020-04-07,67.7,67.93,64.75,64.86,64.86,202887324.0
2020-04-08,65.69,66.84,65.31,66.52,66.52,168895284.0
2020-04-09,67.18,67.52,66.18,67.0,67.0,162116492.0
2020-04-13,67.08,68.43,66.46,68.31,68.31,131022924.0
2020-04-14,70.0,72.06,69.51,71.76,71.76,194994688.0
2020-04-15,70.6,71.58,70.16,71.11,71.11,131154564.0
2020-04-16,71.85,72.05,70.59,71.67,71.67,157125160.0
2020-04-17,71.17,71.74,69.22,70.7,70.7,215249912.0
2020-04-20,69.49,70.42,69.21,69.23,69.23,130015000.0
2020-04-21,69.07,69.31,66.36,67.09,67.09,180991572.0
2020-04-22,68.4,69.48,68.05,69.03,69.03,117057368.0
2020-04-23,68.97,70.44,68.72,68.76,68.76,124814328.0
2020-04-24,69.3,70.75,69.25,70.74,70.74,126508732.0
2020-04-27,70.45,71.14,69.99,70.79,70.79,117087572.0
2020-04-28,71.27,71.46,69.55,69.65,69.65,112004748.0
2020-04-29,71.18,72.42,70.97,71.93,71.93,137280816.0
2020-04-30,72.49,73.63,72.09,73.45,73.45,183063872.0
2020-05-01,71.56,74.75,71.46,72.27,72.27,240616700.0
2020-05-04,72.29,73.42,71.58,73.29,73.29,133567944.0
2020-05-05,73.77,75.25,73.62,74.39,74.39,147751180.0
2020-05-06,75.12,75.81,74.72,75.16,75.16,142333752.0
2020-05-07,75.81,76.29,75.49,75.94,75.94,115215056.0
2020-05-08,76.41,77.59,76.07,77.53,77.53,134047940.0
2020-05-11,77.03,79.26,76.81,78.75,78.75,145946244.0
2020-05-12,79.46,79.92,77.73,77.85,77.85,162301052.0
2020-05-13,78.04,78.99,75.8,76.91,76.91,200622556.0
2020-05-14,76.13,77.45,75.38,77.39,77.39,158929076.0
2020-05-15,75.09,76.98,75.05,76.93,76.93,166348376.0
2020-05-18,78.29,79.13,77.58,78.74,78.74,135372500.0
2020-05-19,78.76,79.63,78.25,78.29,78.29,101729540.0
2020-05-20,79.17,79.88,79.05,79.81,79.81,111504860.0
2020-05-21,79.67,80.22,78.97,79.21,79.21,102688844.0
2020-05-22,78.94,79.81,78.84,79.72,79.72,81803016.0
2020-05-26,80.88,81.06,79.13,79.18,79.18,125521816.0
2020-05-27,79.04,79.68,78.27,79.53,79.53,112945096.0
2020-05-28,79.19,80.86,78.91,79.56,79.56,133796412.0
2020-05-29,79.81,80.29,79.12,79.49,79.49,153598128.0
2020-06-01,79.44,80.59,79.3,80.46,80.46,81018612.0
2020-06-02,80.19,80.86,79.73,80.84,80.84,87642816.0
2020-06-03,81.17,81.55,80.58,81.28,81.28,104491216.0
2020-06-04,81.1,81.41,80.2,80.58,80.58,87560364.0
2020-06-05,80.84,82.94,80.81,82.88,82.88,137250200.0
2020-06-08,82.56,83.4,81.83,83.37,83.37,95654536.0
2020-06-09,83.04,86.4,83.0,86.0,86.0,147712364.0
2020-06-10,86.98,88.69,86.52,88.21,88.21,166651752.0
2020-06-11,87.33,87.77,83.87,83.98,83.98,201662452.0
2020-06-12,86.18,86.95,83.56,84.7,84.7,200146052.0
2020-06-15,83.31,86.42,83.15,85.75,85.75,138808920.0
2020-06-16,87.87,88.3,86.18,88.02,88.02,165428728.0
2020-06-17,88.79,88.85,87.77,87.9,87.9,114406504.0
2020-06-18,87.85,88.36,87.31,87.93,87.93,96820384.0
2020-06-19,88.66,89.14,86.29,87.43,87.43,264475808.0
2020-06-22,87.84,89.87,87.79,89.72,89.72,135445264.0
2020-06-23,91.0,93.1,90.57,91.63,91.63,212155476.0
2020-06-24,91.25,92.2,89.63,90.02,90.02,192623396.0
2020-06-25,90.18,91.25,89.39,91.21,91.21,137522512.0
2020-06-26,91.1,91.33,88.26,88.41,88.41,205256844.0
2020-06-29,88.31,90.54,87.82,90.45,90.45,130646076.0
2020-06-30,90.02,91.5,90.0,91.2,91.2,140223284.0
2020-07-01,91.28,91.84,90.98,91.03,91.03,110737236.0
2020-07-02,91.96,92.62,90.91,91.03,91.03,114041468.0
2020-07-06,92.5,93.95,92.47,93.46,93.46,118655652.0
2020-07-07,93.85,94.66,93.06,93.17,93.17,112424456.0
2020-07-08,94.18,95.38,94.09,95.34,95.34,117091880.0
2020-07-09,96.26,96.32,94.67,95.68,95.68,125642608.0
2020-07-10,95.34,95.98,94.71,95.92,95.92,90257320.0
2020-07-13,97.27,99.96,95.26,95.48,95.48,191649140.0
2020-07-14,94.84,97.26,93.88,97.06,97.06,170989364.0
2020-07-15,98.99,99.25,96.49,97.73,97.73,153197932.0
2020-07-16,96.56,97.41,95.91,96.52,96.52,110577672.0
2020-07-17,96.99,97.15,95.84,96.33,96.33,92186900.0
2020-07-20,96.42,98.5,96.06,98.36,98.36,90317908.0
2020-07-21,99.17,99.25,96.74,97.0,97.0,103645836.0
2020-07-22,96.69,97.98,96.6,97.27,97.27,89001652.0
2020-07-23,97.0,97.08,92.01,92.85,92.85,197004432.0
2020-07-24,90.99,92.97,89.15,92.62,92.62,185438864.0
2020-07-27,93.71,94.91,93.48,94.81,94.81,121214192.0
2020-07-28,94.37,94.55,93.25,93.25,93.25,103625500.0
