Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,84.9,86.14,84.34,86.05,86.05,47791930.0
2020-01-03,88.1,90.8,87.38,88.6,88.6,88973485.0
2020-01-06,88.09,90.31,88.0,90.31,90.31,50787495.0
2020-01-07,92.28,94.33,90.67,93.81,93.81,91045690.0
2020-01-08,94.74,99.7,93.65,98.43,98.43,155996965.0
2020-01-09,99.42,99.76,94.57,96.27,96.27,142315930.0
2020-01-10,96.36,96.99,94.74,95.63,95.63,64884160.0
2020-01-13,98.7,105.13,98.4,104.97,104.97,133172735.0
2020-01-14,108.85,109.48,104.98,107.58,107.58,145306885.0
2020-01-15,105.95,107.57,103.36,103.7,103.7,86844155.0
2020-01-16,98.75,102.89,98.43,102.7,102.7,108683265.0
2020-01-17,101.52,103.13,100.63,102.1,102.1,68145365.0
2020-01-21,106.05,109.72,105.68,109.44,109.44,89017355.0
2020-01-22,114.38,118.9,111.82,113.91,113.91,156845140.0
2020-01-23,112.85,116.4,111.12,114.44,114.44,98255210.0
2020-01-24,114.13,114.77,110.85,112.96,112.96,71768000.0
2020-01-27,108.4,112.89,107.86,111.6,111.6,68040340.0
2020-01-28,113.7,115.36,111.62,113.38,113.38,58942465.0
2020-01-29,115.14,117.96,113.49,116.2,116.2,91083360.0
2020-01-30,126.48,130.18,123.6,128.16,128.16,145028380.0
2020-01-31,128.0,130.6,126.5,130.11,130.11,78596330.0
2020-02-03,134.74,157.23,134.7,156.0,156.0,236167475.0
2020-02-04,176.59,193.8,166.78,177.41,177.41,304693790.0
2020-02-05,164.65,169.2,140.82,146.94,146.94,242119185.0
2020-02-06,139.98,159.17,137.4,149.79,149.79,199403760.0
2020-02-07,146.11,153.95,146.0,149.61,149.61,85317605.0
2020-02-10,160.0,164.0,150.48,154.26,154.26,123445815.0
2020-02-11,153.76,156.7,151.6,154.88,154.88,58487365.0
2020-02-12,155.57,157.95,152.67,153.46,153.46,60112350.0
2020-02-13,148.37,163.6,147.0,160.8,160.8,131446740.0
2020-02-14,157.44,162.59,157.1,160.01,160.01,78468555.0
2020-02-18,168.32,172.0,166.47,171.68,171.68,83491845.0
2020-02-19,184.7,188.96,180.2,183.48,183.48,127114790.0
2020-02-20,182.39,182.4,171.99,179.88,179.88,88174465.0
2020-02-21,181.4,182.61,176.09,180.2,180.2,71697230.0
2020-02-24,167.8,172.7,164.44,166.76,166.76,75960815.0
2020-02-25,169.8,171.32,157.4,159.98,159.98,86452405.0
2020-02-26,156.5,162.66,155.22,155.76,155.76,70769215.0
2020-02-27,146.0,147.95,133.8,135.8,135.8,121385800.0
2020-02-28,125.94,138.1,122.3,133.6,133.6,122820855.0
2020-03-02,142.25,148.74,137.33,148.72,148.72,100974955.0
2020-03-03,161.0,161.4,143.22,149.1,149.1,128920015.0
2020-03-04,152.79,153.3,144.95,149.9,149.9,75244885.0
2020-03-05,144.75,149.15,143.61,144.91,144.91,54263285.0
2020-03-06,138.0,141.4,136.85,140.7,140.7,63314590.0
2020-03-09,121.08,132.6,121.0,121.6,121.6,85368700.0
2020-03-10,131.89,133.6,121.6,129.07,129.07,77972215.0
2020-03-11,128.04,130.72,122.6,126.85,126.85,67067935.0
2020-03-12,116.18,118.9,109.25,112.11,112.11,94545260.0
2020-03-13,119.0,121.51,100.4,109.32,109.32,113201270.0
2020-03-16,93.9,98.97,88.43,89.01,89.01,102447320.0
2020-03-17,88.0,94.37,79.2,86.04,86.04,119972900.0
2020-03-18,77.8,80.97,70.1,72.24,72.24,118930810.0
2020-03-19,74.94,90.4,71.69,85.53,85.53,150977300.0
2020-03-20,87.64,95.4,85.16,85.51,85.51,141427510.0
2020-03-23,86.72,88.4,82.1,86.86,86.86,82272745.0
2020-03-24,95.46,102.74,94.8,101.0,101.0,114475850.0
2020-03-25,109.05,111.4,102.22,107.85,107.85,106113725.0
2020-03-26,109.48,112.0,102.45,105.63,105.63,87110410.0
2020-03-27,101.0,105.16,98.81,102.87,102.87,71887040.0
2020-03-30,102.05,103.33,98.25,100.43,100.43,59990335.0
2020-03-31,100.25,108.59,99.4,104.8,104.8,88857425.0
2020-04-01,100.8,102.79,95.02,96.31,96.31,66765900.0
2020-04-02,96.21,98.85,89.28,90.89,90.89,99292135.0
2020-04-03,101.9,103.1,93.68,96.0,96.0,112810380.0
2020-04-06,102.24,104.2,99.59,103.25,103.25,74509180.0
2020-04-07,109.0,113.0,106.47,109.09,109.09,89598920.0
2020-04-08,110.84,111.44,106.67,109.77,109.77,63280120.0
2020-04-09,112.42,115.04,111.42,114.6,114.6,68250000.0
2020-04-13,118.03,130.4,116.11,130.19,130.19,112377105.0
2020-04-14,139.79,148.38,138.49,141.98,141.98,152882555.0
2020-04-15,148.4,150.63,142.0,145.97,145.97,117885005.0
2020-04-16,143.39,151.89,141.34,149.04,149.04,103289310.0
2020-04-17,154.46,154.99,149.53,150.78,150.78,65641185.0
2020-04-20,146.54,153.11,142.44,149.27,149.27,73732885.0
2020-04-21,146.02,150.67,134.76,137.34,137.34,101045465.0
2020-04-22,140.8,146.8,137.74,146.42,146.42,71124155.0
2020-04-23,145.52,146.8,140.63,141.13,141.13,66183485.0
2020-04-24,142.16,146.15,139.64,145.03,145.03,66188060.0
2020-04-27,147.52,159.9,147.0,159.75,159.75,103407210.0
2020-04-28,159.13,161.0,151.34,153.82,153.82,76109820.0
